date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:34	107/107	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2016:04:34%20GMT	https://lixi.ngiu.me/robots.txt		(from )
23:04:34	6716/6716	---MCZ	200	added ('OK')	text/html	etag:W/%2265c3b143-1a3c%22	https://lixi.ngiu.me/	C:/Tet2024/LixiBanking/lixi.ngiu.me/index.html	(from )
23:04:34	402/402	---M--	200	added ('OK')	text/css	etag:%2265c3b143-192%22	https://lixi.ngiu.me/style.css	C:/Tet2024/LixiBanking/lixi.ngiu.me/style.css	(from https://lixi.ngiu.me/)
23:04:34	327754/327754	---M--	200	added ('OK')	image/png	etag:%2265c3b143-5004a%22	https://lixi.ngiu.me/cheems-1.png	C:/Tet2024/LixiBanking/lixi.ngiu.me/cheems-1.png	(from https://lixi.ngiu.me/)
23:04:34	154465/154465	---M--	200	added ('OK')	image/png	etag:%2265c3b143-25b61%22	https://lixi.ngiu.me/cheems.png	C:/Tet2024/LixiBanking/lixi.ngiu.me/cheems.png	(from https://lixi.ngiu.me/)
23:04:35	319837/319837	---M--	200	added ('OK')	image/png	etag:%2265c3b143-4e15d%22	https://lixi.ngiu.me/cheems-2.png	C:/Tet2024/LixiBanking/lixi.ngiu.me/cheems-2.png	(from https://lixi.ngiu.me/)
23:04:35	458572/458572	---M--	200	added ('OK')	image/png	etag:%2265c3b143-6ff4c%22	https://lixi.ngiu.me/cheems-3.png	C:/Tet2024/LixiBanking/lixi.ngiu.me/cheems-3.png	(from https://lixi.ngiu.me/)
23:04:35	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/Tet2024/LixiBanking/code.jquery.com/jquery-3.4.1.js	(from https://lixi.ngiu.me/)
23:04:35	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2016:04:36%20GMT	https://lixi.ngiu.me/window.location.href	C:/Tet2024/LixiBanking/lixi.ngiu.me/window.location.href	(from https://lixi.ngiu.me/)
23:04:36	117703/117703	---M--	200	added ('OK')	image/jpeg	etag:%2265c3b143-1cbc7%22	https://lixi.ngiu.me/bg.jpg	C:/Tet2024/LixiBanking/lixi.ngiu.me/bg.jpg	(from https://lixi.ngiu.me/style.css)
